[⿰⿳业丷臿殳]	鑿
[⿰〢⿱𠂉丶]	鉴
[⿰〢又]	坚悭铿鲣紧肾贤
[⿰丬夕]	奖桨浆酱
[⿰户攵]	啓啟綮
[⿰歺又]	餐
[⿰育攵]	徹撤澈轍辙
[⿰贝贝]	罂
[⿱⺌貝]	嗩瑣鎖
[⿱⺌贝]	唢琐锁
[⿱⿰幺幺丱]	關
[⿱ス工]	刭劲弪径氢泾烃痉经羟胫茎轻迳陉颈
[⿱亠⿲丶⿰丨丨丶]	变娈孪峦弯湾恋挛栾滦脔蛮銮鸾
[⿱免冫]	搀谗馋
[⿱冃羽]	塌榻溻蹋遢鰨鳎
[⿱刀巴]	絶脆
[⿱又⿻丨二]	峄怿择箨泽绎译释铎驿
[⿱吂䏎1]	嬴瀛贏赢
[⿱囘又]	歿沒
[⿱巛夕]	拶
[⿱左肉]	惰
[⿱必皿]	謐谧
[⿱爫缶]	摇瑶謡谣遥鳐鹞
[⿱肉缶]	搖瑤謠遙
[⿱至用]	備憊鞴
[⿱臼工]	隉
[⿱艹冖1]	茔茕荥荧莹滢莺萤营萦蓥
[⿱艹冖2]	荦
[⿱𠂉⿹𠄎⿰丿丿]	殇觞
[⿱𠂉昜]	傷殤觴
[⿱𭕄冖]	喾学泶觉搅鲎
[⿳囟八夊]	傻
[⿳宀⿻龷一八2]	搴褰謇蹇騫骞
[⿳宀⿻龷一八]	塞噻寨賽赛
[⿳小日小]	隙
[⿳艹罒儿]	甍薨
[⿳𫜹冖又]	寝寢鋟锓
[⿷匚⿳丨口丨]	姬頤颐
[⿷匚夹]	惬箧
[⿹𠄎⿰丿丿]	场扬杨汤烫荡铴炀畅疡砀肠飏饧
[⿻⿻𠃋一⿻𠃌八]	拣炼练
[㬎]	顯
[不1]	坏怀
[不2]	环还
[井]	耕
[亘]	恒
[亦]	跡迹
[享]	淳諄谆醇鶉鹑
[內]	枘納肭芮蚋衲訥鈉
[公]	兖
[兴]	誉
[冗]	沉
[別]	捌
[刪]	珊跚
[办]	协胁
[勻]	均筠昀鈞韵
[卖]	椟渎牍犊窦续觌读赎黩
[卽]	鯽
[去]	怯砝
[又1]	叹汉
[又2]	劝权欢观
[吕]	稆莒鋁閭櫚
[吳]	虞蜈誤
[啬]	墙嫱樯蔷
[嗇]	墻嬙檣薔
[囪]	窗
[圣]	怪柽
[夹]	陕
[奧]	噢懊澳燠襖
[宁]	咛拧柠泞狞聍苧
[寸]	紂葤纣荮肘討讨酎
[己]	圮妃
[帛]	棉
[广]	圹扩旷犷矿纩邝
[开]	形邢
[強]	犟糨襁鏹
[彔]	氯碌逯
[彦]	諺
[急]	稳
[执1]	亵势热
[执2]	垫执挚絷蛰贽鸷
[斥]	訴诉
[既]	慨暨
[殳]	殁没
[爭]	諍錚
[爲]	僞
[爻]	駁驳
[眔]	鰥鳏
[老]	姥
[舌2]	恬栝
[舌]	刮括活闊阔聒蛞話话颳鴰鸹
[茲]	嵫慈滋糍鷀
[虛]	墟覷
[虫]	浊烛独触
[龍]	襲
[龙]	袭
[𤇾]	犖
[𥁕]	瘟韞
㐌	拖迤
㐫	垴恼脑
㐬	旒流鎏琉硫鋶锍
㐱	殄餮珍畛疹胗診诊趁軫轸
㒼	瞞蟎蹣顢
㓞	恝瘛挈
㔷	陋
㕡	壑
㕣	兗沿船鉛铅
㚇	糉
㚒	陝
㝉	伫苎贮
㝵	得碍鍀锝
㠯	耜
㡭	繼
㢆	缠
㣎	穆
㥯	穩
㫗	厚
㬎	濕隰
㱿	彀愨殻殼慤毂穀觳轂
䍃	徭繇鰩鷂
䍜	罹
䏌	佾
䜌	孌孿巒彎灣戀攣欒灤臠蠻變鑾鸞
䧹	應膺鷹鹰
一	一
丁	丁仃厅叮打汀灯玎町疔盯耵訂订酊釘钉頂顶
丂	朽
七	柒七
万	万劢疠虿迈
丈	丈仗杖
三	三仨叁叄閆闫
上	上让
下	下吓忑虾
丌	丌
不	不杯罘鈈钚
与	与屿欤
丏	沔眄麪
丐	丐鈣钙
丑	丑妞忸扭狃紐纽羞饈馐衄鈕钮
专	专传抟砖转啭
且	且俎咀姐徂殂沮菹狙疽祖租粗組组苴蛆詛诅趄阻雎駔驵齟龃
丕	丕呸坯胚苤邳
世	世屉屜泄紲绁貰贳
丘	丘蚯邱
丙	丙柄炳病邴
业	业邺
东	东冻岽栋胨鸫
丝	丝咝鸶
丟	丟丢
丞	丞卺巹拯蒸
两	两俩辆魉
严	严俨酽
並	並碰踫
丧	丧
丨	丨
丩	糾纠虬虯赳
个	个
丫	丫吖
丬	丬妆状
中	中仲冲忠忡沖盅种肿舯衷钟
丰	丰沣蚌
串	串
临	临
丶	丶
丸	丸紈纨芄
丹	丹坍旃
为	为伪妫沩
主	主住拄柱注炷疰蛀註駐驻麈
丽	丽俪逦郦酾骊鲡鹂
举	举榉
丿	丿
乂	刈
乃	乃仍奶扔氖艿鼐
久	久柩灸玖疚
乇	乇吒奼托託
么	么仫
义	义仪舣蚁议
之	之芝
乌	乌呜坞邬钨
乍	乍作咋怍怎昨柞炸痄砟祚窄搾榨笮胙舴蚱詐诈迮酢阼
乎	乎呼烀軤轷
乏	乏泛眨砭窆貶贬
乐	乐栎泺烁砾跞轹铄
乒	乒
乓	乓
乔	乔侨娇峤挢桥矫荞轿鞒骄
乖	乖
乘	乘剩嵊
乙	乙亿忆挖艺呓釔钇
乚	乩扎軋轧
九	九仇宄尻旭犰究艽軌匭轨匦馗鳩鸠鼽
乞	乞仡吃圪屹汔疙紇纥虼訖讫迄
也	也他地她弛池牠迆酏馳驰
习	习
乡	乡芗飨
书	书
买	买卖荬
乱	乱
乳	乳
亂	亂
了	了疗辽釕钌
予	予妤序抒杼紓纾豫野墅預蕷预蓣
争	争净峥挣狰睁筝诤铮
事	事
二	二
于	于吁圩宇汙盂盱竽紆纡芋迂
亏	亏圬污肟
云	云紜纭耘芸运酝魂
互	互冱
亓	亓
五	五伍
井	井肼阱
亘	亘垣桓洹
亙	亙恆
亚	亚哑垩垭娅桠氩痖
些	些
亞	亞啞埡堊婭椏氬瘂
亟	亟極殛
亡	亡妄忘忙望氓茫盲肓虻邙
亢	亢伉吭坑抗杭沆炕肮航鈧钪閌闶頏颃骯
交	交佼咬姣效校狡皎絞绞胶茭蛟跤較较郊鉸铰餃饺鮫鲛
亥	亥刻劾咳垓孩核氦胲該该賅赅閡阂陔頦颏駭骇骸
亦	亦奕弈
产	产铲
亨	亨哼烹
亩	亩
享	享
京	京凉惊掠晾椋涼琼諒谅鯨鲸黥
亭	亭停婷葶
亮	亮
亲	亲榇
亶	壇嬗擅檀氈澶羶膻顫颤
人	人认
仁	仁佞
仄	仄昃
仅	仅
今	今吟妗琴芩衾衿鈐钤黔
介	介价尬疥芥蚧阶骱
仌	冫
从	丛从怂枞纵耸苁
仑	仑伦囵抡沦纶论轮
仓	仓伧创呛怆戗抢枪沧炝疮舱苍跄
仕	仕茌
付	付咐拊符苻跗附駙驸鮒鲋
仙	仙
代	代岱玳袋貸贷黛
令	令伶冷呤囹岭怜拎柃泠玲瓴矜羚翎聆苓蛉邻鈴铃領嶺领齡龄
以	以似姒拟苡
件	件
任	任恁荏賃赁
企	企
伇	役疫
伊	伊咿
伏	伏茯袱
伐	伐垡筏閥阀
休	休咻庥貅髹鵂鸺
众	众
会	会侩刽哙桧浍烩狯绘脍荟郐
伞	伞
伤	伤
位	位蒞莅
体	体
何	何
佘	佘畲賒赊
余	余叙溆徐敘漵斜涂塗狳畬蜍途酴餘馀
佥	佥俭剑捡敛潋蔹检殓猃睑硷签脸莶裣险验
佩	佩珮
侃	侃
來	來崍徠淶睞萊賚錸
侖	侖倫圇崙掄淪綸論輪
侯	侯候喉堠猴瘊篌糇緱缑餱
侵	侵
便	便緶缏鞭
保	保堡煲葆裒褒褓
俞	俞偷喻嵛愈癒愉揄榆毹渝瑜瘉窬腧蝓覦觎諭谕輸输逾
信	信
修	修
倉	倉傖創嗆愴戧搶槍滄熗瘡艙蒼蹌
倝	乾幹擀斡翰瀚韓韩
做	做
傘	傘
僉	僉儉劍撿斂瀲蘞檢殮獫瞼礆簽臉薟襝險驗鹼
儿	儿
兀	兀杌虺阢髡
允	允吮狁
元	元冠园朊沅玩芫远阮頑顽黿鼋
兄	兄况況貺贶
充	充統统茺銃铳
兆	佻兆姚挑晁桃洮珧眺祧窕跳逃銚铫鼗
兇	兇
先	先冼宪洗筅詵诜跣选酰銑铣
光	光咣恍桄胱觥
克	克剋氪
兌	兌悅稅脫蛻說銳閱
免	免冕勉娩挽晚浼輓鞔
兑	兑悦税脱蜕説说鋭锐閲阅
兒	倪兒猊睨霓鯢鲵
兔	兔堍菟
党	傥党谠
兜	兜篼蔸
兢	兢
入	入
內	內吶
全	全拴栓痊筌荃詮诠輇辁醛銓铨
兩	倆兩輛魎
八	八叭扒趴
公	公忪瓮蚣訟讼頌颂
六	六
兮	諡兮
兰	兰拦栏烂
共	供共哄恭拱洪烘珙蕻閧鬨龔龚
关	关联
兴	兴
兵	兵浜
其	其基旗期棋欺淇琪祺箕綦萁蜞騏骐麒
具	俱具惧犋颶飓
典	典碘腆
兹	兹孳磁鹚
养	养
兼	兼嫌慊搛歉縑缣蒹謙谦賺赚鶼鹣
兽	兽
冀	冀驥骥
冂	冂
内	内呐纳讷钠
冈	冈刚岗纲钢
冉	冉聃苒蚺髯
冊	冊柵
冋	扃炯苘迥
册	册栅
再	再
冒	冒勖勗帽瑁
冓	媾構溝篝耩覯觏講購遘鞲韝
冖	冖
冗	冗
冘	忱枕沈眈耽鴆鸩
写	写泻
军	军恽挥晕晖浑珲皲荤诨辉郓
农	侬农哝浓脓
冤	冤
冥	冥幂暝溟瞑螟
冬	佟冬咚氡疼終终螽鼕
冯	冯
冰	冰
准	准
几	几叽机玑矶肌虮讥飢饥麂
凡	凡帆梵矾釩钒
凤	凤
凭	凭
凵	凵
凶	凶汹酗
凸	凸
凹	凹
出	出咄拙础絀绌茁詘诎黜
击	击
函	函涵菡
凿	凿
刀	刀刂叨忉釗钊
刁	刁叼
刃	仞刃紉纫軔轫韌韧
刅	梁墚樑粱
分	份分吩坌忿扮棼氛汾玢盆湓盼粉紛纷芬貧贫酚頒颁鼢
切	切彻沏砌窃
刍	刍皱绉诌趋邹雏驺
刑	刑型硎荆荊
列	例冽列咧洌烈裂趔
刘	刘浏
则	侧则厕恻测铡
初	初
删	删姗
別	別
利	俐利梨犁猁琍痢莉蜊黧
刪	刪姍
别	别
到	倒到
制	制掣製
刷	刷唰涮
刹	刹剎
刺	刺
則	側則厠廁惻測鍘
剌	剌喇瘌
前	前湔煎箭翦譾
剝	剝
剥	剥
剪	剪謭谫
劉	劉瀏
力	仂力叻肋泐
办	办
